site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
ningxia_irrigation,1981-09-01,0.178,0.146,0.139,0.141
ningxia_irrigation,1981-09-02,0.261,0.148,0.139,0.141
ningxia_irrigation,1981-09-03,0.258,0.153,0.139,0.141
ningxia_irrigation,1981-09-04,0.237,0.156,0.139,0.141
ningxia_irrigation,1981-09-05,0.222,0.156,0.139,0.141
ningxia_irrigation,1981-09-06,0.209,0.156,0.139,0.141
ningxia_irrigation,1981-09-07,0.218,0.156,0.138,0.141
ningxia_irrigation,1981-09-08,0.207,0.156,0.138,0.141
ningxia_irrigation,1981-09-09,0.194,0.155,0.138,0.141
ningxia_irrigation,1981-09-10,0.185,0.155,0.138,0.141
ningxia_irrigation,1981-09-11,0.176,0.154,0.138,0.141
ningxia_irrigation,1981-09-12,0.168,0.152,0.138,0.141
ningxia_irrigation,1981-09-13,0.187,0.152,0.138,0.141
ningxia_irrigation,1981-09-14,0.247,0.153,0.138,0.141
ningxia_irrigation,1981-09-15,0.24,0.156,0.138,0.141
ningxia_irrigation,1981-09-16,0.225,0.156,0.138,0.141
ningxia_irrigation,1981-09-17,0.212,0.156,0.138,0.141
ningxia_irrigation,1981-09-18,0.199,0.156,0.138,0.141
ningxia_irrigation,1981-09-19,0.187,0.155,0.138,0.141
ningxia_irrigation,1981-09-20,0.176,0.154,0.138,0.141
ningxia_irrigation,1981-09-21,0.168,0.152,0.138,0.141
ningxia_irrigation,1981-09-22,0.162,0.152,0.138,0.141
ningxia_irrigation,1981-09-23,0.157,0.151,0.138,0.141
ningxia_irrigation,1981-09-24,0.151,0.15,0.138,0.141
ningxia_irrigation,1981-09-25,0.146,0.149,0.138,0.141
ningxia_irrigation,1981-09-26,0.148,0.148,0.137,0.141
ningxia_irrigation,1981-09-27,0.152,0.148,0.137,0.141
ningxia_irrigation,1981-09-28,0.189,0.147,0.137,0.141
ningxia_irrigation,1981-09-29,0.187,0.147,0.137,0.141
ningxia_irrigation,1981-09-30,0.181,0.147,0.137,0.141
ningxia_irrigation,1981-10-01,0.174,0.147,0.137,0.141
ningxia_irrigation,1981-10-02,0.17,0.146,0.137,0.141
ningxia_irrigation,1981-10-03,0.211,0.147,0.137,0.141
ningxia_irrigation,1981-10-04,0.252,0.15,0.137,0.141
ningxia_irrigation,1981-10-05,0.235,0.153,0.137,0.141
ningxia_irrigation,1981-10-06,0.221,0.154,0.137,0.141
ningxia_irrigation,1981-10-07,0.216,0.155,0.137,0.141
ningxia_irrigation,1981-10-08,0.21,0.155,0.137,0.141
ningxia_irrigation,1981-10-09,0.203,0.155,0.137,0.141
ningxia_irrigation,1981-10-10,0.196,0.155,0.137,0.141
ningxia_irrigation,1981-10-11,0.19,0.155,0.137,0.141
ningxia_irrigation,1981-10-12,0.184,0.155,0.137,0.141
ningxia_irrigation,1981-10-13,0.183,0.155,0.137,0.141
ningxia_irrigation,1981-10-14,0.192,0.155,0.137,0.141
ningxia_irrigation,1981-10-15,0.189,0.155,0.137,0.141
ningxia_irrigation,1981-10-16,0.191,0.155,0.137,0.141
ningxia_irrigation,1981-10-17,0.192,0.155,0.137,0.141
ningxia_irrigation,1981-10-18,0.188,0.155,0.137,0.141
ningxia_irrigation,1981-10-19,0.188,0.155,0.137,0.141
ningxia_irrigation,1981-10-20,0.213,0.155,0.137,0.141
ningxia_irrigation,1981-10-21,0.221,0.156,0.137,0.141
ningxia_irrigation,1981-10-22,0.218,0.157,0.137,0.141
ningxia_irrigation,1981-10-23,0.212,0.158,0.137,0.141
ningxia_irrigation,1981-10-24,0.208,0.158,0.137,0.141
ningxia_irrigation,1981-10-25,0.204,0.158,0.137,0.141
ningxia_irrigation,1981-10-26,0.2,0.159,0.137,0.141
ningxia_irrigation,1981-10-27,0.196,0.159,0.137,0.141
ningxia_irrigation,1981-10-28,0.192,0.159,0.137,0.141
ningxia_irrigation,1981-10-29,0.189,0.159,0.137,0.141
ningxia_irrigation,1981-10-30,0.185,0.159,0.137,0.141
ningxia_irrigation,1981-10-31,0.182,0.159,0.137,0.141
ningxia_irrigation,1981-11-01,0.187,0.158,0.137,0.141
ningxia_irrigation,1981-11-02,0.185,0.158,0.137,0.141
ningxia_irrigation,1981-11-03,0.183,0.158,0.137,0.141
ningxia_irrigation,1981-11-04,0.181,0.158,0.137,0.141
ningxia_irrigation,1981-11-05,0.18,0.158,0.137,0.141
ningxia_irrigation,1981-11-06,0.179,0.158,0.137,0.141
