policy,site_id,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
ppo_direct,henan_north,2018,15.043317374206655,60.0,0.07079646017699115,-0.40308756828991177,-0.4539169059632168,6.002954205171913,50.0,9.040363169034741,10.0,,,2
ppo_direct,henan_north,2019,5.7980086850875665,220.0,0.09649122807017543,-3.2034730838757888,-2.559800791731304,1.906063293445495,210.0,3.891945391642072,10.0,,,2
ppo_direct,henan_north,2020,14.634236826228044,130.0,0.09821428571428571,-1.4104572953041297,-1.0959006960425335,6.720621594126621,60.0,7.913615232101423,70.0,,,2
ppo_direct,henan_north,2021,12.12142771068225,130.0,0.15178571428571427,-1.755293949255298,-1.4029195535357555,3.5627117867429097,120.0,8.55871592393934,10.0,,,2
ppo_direct,henan_north,2022,15.538061224909757,130.0,0.10526315789473684,-1.3783797140193892,-1.1523816694654963,6.434717599119602,120.0,9.103343625790156,10.0,,,2
ppo_direct,shaanxi_guanzhong,2018,11.524994020632727,165.0,0.12612612612612611,-1.875852452024179,-1.390796478602575,4.651250960079181,45.0,6.873743060553546,120.0,,,2
ppo_direct,shaanxi_guanzhong,2019,8.780021296334116,140.0,0.08035714285714286,-2.0432873801892675,-1.5614349064967428,1.5461964280003124,80.0,7.233824868333803,60.0,,,2
ppo_direct,shaanxi_guanzhong,2020,13.603945076366212,30.0,0.2,0.02324145886778861,-0.1348353354073577,4.816289952520413,20.0,8.787655123845798,10.0,,,2
ppo_direct,shaanxi_guanzhong,2021,14.340228859122664,30.0,0.11711711711711711,0.05754916428597323,-0.11727151342786657,5.292445680591085,20.0,9.04778317853158,10.0,,,2
ppo_direct,shaanxi_guanzhong,2022,10.878703401454374,30.0,0.08928571428571429,-0.1023493297648197,-0.21044652598821895,4.929889295916342,20.0,5.948814105538031,10.0,,,2
ppo_direct,ningxia_irrigation,2018,6.346806283015375,240.0,0.3181818181818182,-3.0321277922394723,-2.8915820451173047,,,,,6.346806283015375,240.0,2
ppo_direct,ningxia_irrigation,2019,8.319116637830215,320.0,0.3181818181818182,-4.223273858966036,-3.7896897220762185,,,,,8.319116637830215,320.0,2
ppo_direct,ningxia_irrigation,2020,6.770090088985384,400.0,0.3181818181818182,-5.605502567429184,-5.0985790072578885,,,,,6.770090088985384,400.0,2
ppo_direct,ningxia_irrigation,2021,0.0,10.0,0.022727272727272728,-0.22803568674841024,-0.22012791014462793,,,,,0.0,10.0,2
ppo_direct,ningxia_irrigation,2022,10.574241730267536,320.0,0.29545454545454547,-4.261642288220827,-3.9820244186289124,,,,,10.574241730267536,320.0,2
ppo_residual,beijing_plain,2018,9.888462055534461,185.0,0.16521739130434782,-2.2575557192551208,-1.5901074504009034,2.745832023832452,40.0,7.142630031702009,145.0,,,0
ppo_residual,beijing_plain,2019,6.790672621299834,450.0,0.2743362831858407,-6.971293516945322,-5.3271077531588285,1.816457549891739,375.0,4.974215071408095,75.0,,,0
ppo_residual,beijing_plain,2020,10.368601421576365,190.0,0.04424778761061947,-2.4798687017160432,-1.9366430139342632,1.5120236218051393,165.0,8.856577799771225,25.0,,,0
