site_id,smt_level,alpha,mean_total_yield,std_total_yield,mean_total_irr
shaanxi_guanzhong,conservative,0.1,16.019258098033863,0.28027720327870903,105.71428571428571
shaanxi_guanzhong,conservative,0.2,16.015934985963625,0.28236791410162,103.57142857142857
shaanxi_guanzhong,conservative,0.3,16.015934985963625,0.28236791410162,103.57142857142857
shaanxi_guanzhong,conservative,0.4,16.015934985963625,0.28236791410162,103.57142857142857
shaanxi_guanzhong,conservative,0.5,16.015934985963625,0.28236791410162,103.57142857142857
shaanxi_guanzhong,conservative,0.6,16.015934985963625,0.28236791410162,103.57142857142857
shaanxi_guanzhong,conservative,0.7,16.015351552016377,0.28248574628876366,93.57142857142857
shaanxi_guanzhong,conservative,0.8,15.666651875514495,0.5017407349599741,74.28571428571429
shaanxi_guanzhong,conservative,0.9,14.80240321680093,1.5512737693259835,54.285714285714285
shaanxi_guanzhong,moderate,0.1,16.257552995243056,0.34987004739179234,167.11703703648826
shaanxi_guanzhong,moderate,0.2,16.251362181217168,0.35230229039647926,191.40132275077394
shaanxi_guanzhong,moderate,0.3,16.25467025759123,0.35138416054885246,187.11560846505967
shaanxi_guanzhong,moderate,0.4,16.25467025759123,0.35138416054885246,187.11560846505967
shaanxi_guanzhong,moderate,0.5,16.25467025759123,0.35138416054885246,184.2400705910401
shaanxi_guanzhong,moderate,0.6,16.247156649952423,0.34022208999129544,165.86393648383174
shaanxi_guanzhong,moderate,0.7,16.021533396294185,0.2654053518462419,146.57822219811743
shaanxi_guanzhong,moderate,0.8,15.324399187280195,0.9609860092242066,122.29250791240315
shaanxi_guanzhong,moderate,0.9,14.817239358271822,1.5846457562433598,92.14285714285714
shaanxi_guanzhong,aggressive,0.1,16.322633545460143,0.3751258124939996,259.671894958873
shaanxi_guanzhong,aggressive,0.2,16.317654936285525,0.3665193528762317,278.125867309102
shaanxi_guanzhong,aggressive,0.3,16.317706604116445,0.36653029480273247,296.18343412519374
shaanxi_guanzhong,aggressive,0.4,16.31780284038854,0.366497238947645,279.8710441257864
shaanxi_guanzhong,aggressive,0.5,16.31779820571345,0.3664956791771034,267.01390126864356
shaanxi_guanzhong,aggressive,0.6,16.213338648548206,0.37959201967032163,252.30309039506943
shaanxi_guanzhong,aggressive,0.7,15.822021681289412,0.8963507615633487,227.10657306438253
shaanxi_guanzhong,aggressive,0.8,15.530045369381067,1.2719389383826165,191.28943059250363
shaanxi_guanzhong,aggressive,0.9,15.158464949369243,1.7576305663876204,150.1446783415129
