policy,site_id,year,preference,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,timesteps
ppo_rotation_residual_wq_seed2,hebei_central,2015,balanced,15.390199825073283,450.0,0.2818181818181818,-5.492318862004588,-4.681418421488399,4.430538774789657,410.0,10.959661050283627,40.0,,,100000
ppo_rotation_residual_wq_seed2,ningxia_irrigation,2015,balanced,11.363623074712251,450.0,0.5454545454545454,-5.665637982987288,-5.195529205040179,,,,,11.363623074712251,450.0,100000
ppo_rotation_residual_wq_seed2,shaanxi_guanzhong,2015,balanced,16.192333262710108,265.0,0.5636363636363636,-3.245833332390235,-2.4685418655222,4.900043361912264,155.0,11.292289900797845,110.0,,,100000
ppo_rotation_direct_gamma1,hebei_central,2015,balanced,10.850079094963744,270.0,0.13636363636363635,-3.5215734390672564,-2.654498284011823,0.6762134476985635,110.0,10.173865647265181,160.0,,,200000
ppo_rotation_direct_gamma1,ningxia_irrigation,2015,balanced,0.0,0.0,0.0,-0.04059596122166813,-0.045338595799476855,,,,,0.0,0.0,200000
ppo_rotation_direct_gamma1,shaanxi_guanzhong,2015,balanced,14.490084214561334,20.0,0.06363636363636363,0.11256679879331571,-0.04676431102584161,4.900043361912264,20.0,9.59004085264907,0.0,,,200000
ppo_rotation_direct_gamma1_seed1,hebei_central,2015,balanced,10.606919198821112,385.0,0.23636363636363636,-5.0602547540037985,-3.5771978334690626,0.6758295955457355,100.0,9.931089603275376,285.0,,,200000
ppo_rotation_direct_gamma1_seed1,ningxia_irrigation,2015,balanced,0.0,0.0,0.041666666666666664,-0.04059596122166813,-0.045338595799476855,,,,,0.0,0.0,200000
ppo_rotation_direct_gamma1_seed1,shaanxi_guanzhong,2015,balanced,14.968536182341452,70.0,0.10909090909090909,-0.49074625935103855,-0.5068130625689984,4.900043361912264,45.0,10.068492820429189,25.0,,,200000
ppo_rotation_direct_gamma1_seed2,hebei_central,2015,balanced,10.526933125616045,290.0,0.14545454545454545,-3.795322521738595,-2.8551196958559157,0.7365752775025147,130.0,9.79035784811353,160.0,,,200000
ppo_rotation_direct_gamma1_seed2,ningxia_irrigation,2015,balanced,0.0,10.0,0.034482758620689655,-0.1922482645218485,-0.19437044943965315,,,,,0.0,10.0,200000
ppo_rotation_direct_gamma1_seed2,shaanxi_guanzhong,2015,balanced,14.968536182341452,95.0,0.20909090909090908,-0.8338018149065942,-0.8015275122409835,4.900043361912264,70.0,10.068492820429189,25.0,,,200000
ppo_rotation_direct_wq,hebei_central,2015,balanced,7.874459723655167,210.0,0.045454545454545456,-2.9256436911240558,-2.3931843341024623,1.1174805626656539,170.0,6.756979160989513,40.0,,,200000
ppo_rotation_direct_wq,ningxia_irrigation,2015,balanced,0.0,25.0,0.045454545454545456,-0.4027929726530415,-0.39839874347796106,,,,,0.0,25.0,200000
ppo_rotation_direct_wq,shaanxi_guanzhong,2015,balanced,15.671940951201805,125.0,0.05454545454545454,-1.1688664186452227,-1.0213293306891627,4.900043361912264,75.0,10.77189758928954,50.0,,,200000
ppo_rotation_direct_wq_seed1,hebei_central,2015,balanced,13.68146533864152,450.0,0.2,-5.924009881395804,-4.613992104811628,3.256068544670912,225.0,10.425396793970608,225.0,,,200000
