site_id,soil,year,weight_yield_proxy,weight_water,weight_cost,weight_risk,dry_yield_t_ha,irrigation_mm,n_decision_steps,action_modified_rate,scalar_return,condition,target_site,nearest_source_distance
henan_north,loam,2022,0.4,0.3,0.2,0.1,14.48829757477101,0.0,44,0.022727272727272728,18.000049753188357,zero_shot,henan_north,0.905555524686574
henan_north,loam,2018,0.4,0.3,0.2,0.1,14.672669220727533,0.0,44,0.045454545454545456,18.00514060883093,finetuned,henan_north,0.905555524686574
henan_north,loam,2019,0.4,0.3,0.2,0.1,11.664653180781512,0.0,44,0.0,16.96825796216854,finetuned,henan_north,0.905555524686574
henan_north,loam,2020,0.4,0.3,0.2,0.1,14.63899306192004,0.0,44,0.11363636363636363,18.004210745335946,finetuned,henan_north,0.905555524686574
henan_north,loam,2021,0.4,0.3,0.2,0.1,14.495866269596382,0.0,44,0.1590909090909091,17.978721789376387,finetuned,henan_north,0.905555524686574
henan_north,loam,2022,0.4,0.3,0.2,0.1,14.48829757477101,0.0,44,0.022727272727272728,18.000049753188357,finetuned,henan_north,0.905555524686574
henan_north,loam,2018,0.4,0.3,0.2,0.1,14.66808238303989,40.0,44,0.0,17.482791735200884,threshold_rule,henan_north,0.905555524686574
henan_north,loam,2019,0.4,0.3,0.2,0.1,14.557554884316685,180.0,44,0.0,15.651962080668333,threshold_rule,henan_north,0.905555524686574
henan_north,loam,2020,0.4,0.3,0.2,0.1,14.63899306192004,0.0,44,0.022727272727272728,18.004210745335946,threshold_rule,henan_north,0.905555524686574
henan_north,loam,2021,0.4,0.3,0.2,0.1,14.674211523048754,100.0,44,0.0,16.69962763920791,threshold_rule,henan_north,0.905555524686574
henan_north,loam,2022,0.4,0.3,0.2,0.1,14.595177916915677,80.0,44,0.0,16.958556480493048,threshold_rule,henan_north,0.905555524686574
shaanxi_guanzhong,loam,2018,0.4,0.3,0.2,0.1,14.669094865872253,10.0,44,0.22727272727272727,17.865394616885887,zero_shot,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2019,0.4,0.3,0.2,0.1,14.668789225716225,10.0,44,0.13636363636363635,17.865386135498632,zero_shot,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2020,0.4,0.3,0.2,0.1,14.660527206172157,10.0,44,0.3181818181818182,17.865156867891386,zero_shot,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2021,0.4,0.3,0.2,0.1,14.718541912273738,10.0,44,0.1590909090909091,17.86676675186491,zero_shot,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2022,0.4,0.3,0.2,0.1,14.431621147343279,10.0,44,0.022727272727272728,17.683863213596446,zero_shot,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2018,0.4,0.3,0.2,0.1,14.669786565649696,10.0,44,0.13636363636363635,17.86541381126712,finetuned,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2019,0.4,0.3,0.2,0.1,14.655521039492886,10.0,44,0.11363636363636363,17.865017948847452,finetuned,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2020,0.4,0.3,0.2,0.1,14.660527206172157,10.0,44,0.22727272727272727,17.865156867891386,finetuned,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2021,0.4,0.3,0.2,0.1,14.718541912273738,10.0,44,0.11363636363636363,17.86676675186491,finetuned,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2022,0.4,0.3,0.2,0.1,14.431621147343279,10.0,44,0.022727272727272728,17.683863213596446,finetuned,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2018,0.4,0.3,0.2,0.1,14.658666062499185,0.0,44,0.022727272727272728,18.006771888594933,threshold_rule,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2019,0.4,0.3,0.2,0.1,14.653806625365593,0.0,44,0.0,18.006637041234885,threshold_rule,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2020,0.4,0.3,0.2,0.1,14.662297885391773,0.0,44,0.0,18.0068726701702,threshold_rule,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2021,0.4,0.3,0.2,0.1,14.703046013549303,20.0,44,0.022727272727272728,17.746892302673594,threshold_rule,shaanxi_guanzhong,4.218279708209167
shaanxi_guanzhong,loam,2022,0.4,0.3,0.2,0.1,14.754133811954443,100.0,44,0.06818181818181818,16.703865523394104,threshold_rule,shaanxi_guanzhong,4.218279708209167
ningxia_irrigation,loam,2018,0.4,0.3,0.2,0.1,14.125980075636237,10.0,44,0.045454545454545456,17.766038013465586,zero_shot,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2019,0.4,0.3,0.2,0.1,13.984862119746069,10.0,44,0.045454545454545456,17.028872160915725,zero_shot,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2020,0.4,0.3,0.2,0.1,9.562692860327763,10.0,44,0.022727272727272728,15.951243069490827,zero_shot,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2021,0.4,0.3,0.2,0.1,3.1734465727654313,10.0,33,0.030303030303030304,10.820429000308017,zero_shot,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2022,0.4,0.3,0.2,0.1,13.24423382057948,0.0,44,0.06818181818181818,17.535379269994607,zero_shot,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2018,0.4,0.3,0.2,0.1,14.125980075636237,10.0,44,0.022727272727272728,17.766038013465586,finetuned,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2019,0.4,0.3,0.2,0.1,13.904950600244499,10.0,44,0.045454545454545456,17.010845681447098,finetuned,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2020,0.4,0.3,0.2,0.1,10.258993790360924,10.0,44,0.022727272727272728,15.937596191531517,finetuned,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2021,0.4,0.3,0.2,0.1,3.0027344070872903,10.0,33,0.030303030303030304,10.962874735355303,finetuned,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2022,0.4,0.3,0.2,0.1,13.24423382057948,0.0,44,0.022727272727272728,17.535379269994607,finetuned,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2018,0.4,0.3,0.2,0.1,14.486315970322377,80.0,44,0.022727272727272728,16.961610544512723,threshold_rule,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2019,0.4,0.3,0.2,0.1,14.507418933709827,200.0,44,0.0,15.39553539908464,threshold_rule,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2020,0.4,0.3,0.2,0.1,14.38815614883515,260.0,44,0.0,14.608859100645859,threshold_rule,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2021,0.4,0.3,0.2,0.1,14.494734543482734,360.0,44,0.0,13.30629096362724,threshold_rule,ningxia_irrigation,5.101074522467656
ningxia_irrigation,loam,2022,0.4,0.3,0.2,0.1,14.589893251118264,180.0,44,0.045454545454545456,15.658958285536917,threshold_rule,ningxia_irrigation,5.101074522467656
