site_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean,wind_speed_10m_mean
beijing_plain,1998-09-20,22.0,15.7,3.8,2.7,10.88,17.1,64,10.1
beijing_plain,1998-09-21,28.3,11.2,0.0,4.37,20.07,15.4,55,8.4
beijing_plain,1998-09-22,26.1,14.8,0.0,3.48,15.17,14.0,67,8.7
beijing_plain,1998-09-23,26.0,16.2,0.1,3.17,15.38,11.8,70,6.0
beijing_plain,1998-09-24,29.0,15.1,0.0,4.08,18.24,15.5,68,7.7
beijing_plain,1998-09-25,31.6,17.3,0.0,4.28,17.73,14.5,58,7.9
beijing_plain,1998-09-26,29.4,16.7,0.0,5.06,19.26,22.3,48,11.2
beijing_plain,1998-09-27,28.8,14.3,0.0,3.98,18.25,15.3,68,8.0
beijing_plain,1998-09-28,30.2,17.4,0.0,4.15,17.56,16.6,66,8.2
beijing_plain,1998-09-29,31.4,18.9,0.0,4.67,17.75,17.6,51,8.8
beijing_plain,1998-09-30,32.6,16.3,0.0,4.1,17.79,8.5,53,5.7
beijing_plain,1998-10-01,29.5,17.9,0.0,5.02,11.41,27.4,44,14.1
beijing_plain,1998-10-02,24.0,12.8,0.0,4.67,13.98,17.1,29,11.4
beijing_plain,1998-10-03,26.7,12.1,0.0,4.45,18.13,14.1,40,9.2
beijing_plain,1998-10-04,26.9,12.7,0.0,3.84,16.77,15.9,61,8.7
beijing_plain,1998-10-05,27.4,16.1,0.0,3.58,15.32,13.1,59,8.1
beijing_plain,1998-10-06,21.4,16.4,14.9,1.14,5.94,7.4,87,5.1
beijing_plain,1998-10-07,24.8,16.3,0.1,2.04,10.28,7.6,80,5.2
beijing_plain,1998-10-08,25.5,15.2,0.0,2.54,11.16,11.9,73,7.6
beijing_plain,1998-10-09,23.5,18.1,0.0,1.71,6.8,9.5,68,5.3
beijing_plain,1998-10-10,25.8,14.9,8.8,2.4,12.84,8.4,84,5.0
beijing_plain,1998-10-11,24.0,17.1,5.6,1.4,7.03,10.5,88,6.4
beijing_plain,1998-10-12,24.2,16.2,0.3,2.33,12.36,7.4,80,5.4
beijing_plain,1998-10-13,21.0,14.8,3.3,1.44,5.99,17.3,81,7.3
beijing_plain,1998-10-14,20.8,9.4,0.0,3.57,15.96,19.9,48,11.0
beijing_plain,1998-10-15,21.9,7.2,0.0,3.66,15.87,12.1,39,8.6
beijing_plain,1998-10-16,22.4,8.5,0.0,2.75,12.22,13.5,52,6.9
beijing_plain,1998-10-17,16.8,7.6,0.0,4.2,15.94,26.2,29,16.1
beijing_plain,1998-10-18,19.2,5.5,0.0,3.39,15.42,21.1,35,9.2
beijing_plain,1998-10-19,20.2,4.1,0.0,3.23,15.09,12.1,40,8.0
beijing_plain,1998-10-20,20.4,6.9,0.0,3.09,14.63,14.2,48,8.8
beijing_plain,1998-10-21,20.4,7.8,0.4,2.38,13.92,9.0,65,4.8
beijing_plain,1998-10-22,19.4,10.6,0.0,3.35,14.82,16.6,40,10.3
beijing_plain,1998-10-23,18.3,6.4,0.0,2.99,14.31,14.1,41,8.4
beijing_plain,1998-10-24,17.6,4.4,5.6,1.66,8.43,8.8,65,6.4
beijing_plain,1998-10-25,10.9,8.4,32.1,0.36,0.9,15.8,91,10.2
beijing_plain,1998-10-26,14.7,7.2,0.0,2.39,10.15,21.4,57,14.3
beijing_plain,1998-10-27,15.0,2.2,0.0,2.4,13.61,14.7,52,8.2
